Month,Year,Autonomous Community,Province,Relation,Victim Age,Agressor Age,Previous Abuse Report,Living Together,Victims
January,2003,Andalucía,Almería,Partner,41-50 years,51-64 years,Unknown,Yes,1
January,2003,Andalucía,Granada,Partner,75-84 years,75-84 years,Unknown,Yes,1
January,2003,Andalucía,Málaga,Partner,21-30 years,Unknown,Unknown,Yes,1
January,2003,Canarias,Santa Cruz de Tenerife,Partner,31-40 years,Unknown,Unknown,Yes,1
January,2003,Cataluña,Barcelona,Ex-partner,31-40 years,Unknown,Unknown,No,1
January,2003,Cataluña,Barcelona,Partner,31-40 years,51-64 years,Unknown,Yes,1
January,2003,Cataluña,Barcelona,Partner,Unknown,31-40 years,Unknown,Yes,1
January,2003,La Rioja,La Rioja,Partner,31-40 years,31-40 years,Unknown,Yes,1
February,2003,Andalucía,Málaga,Partner,75-84 years,65-74 years,Unknown,Yes,1
February,2003,Cataluña,Tarragona,Partner,21-30 years,Unknown,Unknown,Yes,1
February,2003,Galicia,A Coruña,Partner,65-74 years,65-74 years,Unknown,Yes,1
February,2003,La Rioja,La Rioja,Ex-partner,21-30 years,31-40 years,Unknown,No,1
March,2003,Andalucía,Cádiz,Partner,31-40 years,51-64 years,Unknown,Yes,1
March,2003,Andalucía,Jaén,Ex-partner,21-30 years,Unknown,Unknown,No,1
March,2003,Andalucía,Jaén,Ex-partner,31-40 years,Unknown,Unknown,No,1
March,2003,Galicia,A Coruña,Partner,41-50 years,41-50 years,Unknown,Yes,1
March,2003,Comunidad de Madrid,Madrid,Partner,65-74 years,65-74 years,Unknown,Yes,1
March,2003,Región de Murcia,Murcia,Partner,21-30 years,Unknown,Unknown,Yes,1
April,2003,Canarias,Las Palmas,Partner,21-30 years,21-30 years,Unknown,Yes,1
April,2003,Cataluña,Barcelona,Partner,41-50 years,Unknown,Unknown,Yes,1
April,2003,Comunidad Valenciana,Alicante,Partner,Unknown,Unknown,Unknown,Yes,1
April,2003,Comunidad Valenciana,Valencia,Partner,31-40 years,31-40 years,Unknown,Yes,1
April,2003,Comunidad Foral de Navarra,Navarra,Partner,31-40 years,41-50 years,Unknown,Yes,1
May,2003,Aragón,Teruel,Partner,21-30 years,Unknown,Unknown,Yes,1
May,2003,Castilla - La Mancha,Albacete,Partner,41-50 years,Unknown,Unknown,Yes,1
May,2003,Cataluña,Girona,Partner,31-40 years,Unknown,Unknown,Yes,1
May,2003,Cataluña,Tarragona,Ex-partner,41-50 years,Unknown,Unknown,No,1
May,2003,Comunidad Valenciana,Valencia,Partner,21-30 years,Unknown,Unknown,Yes,1
May,2003,Galicia,Pontevedra,Partner,31-40 years,Unknown,Unknown,Yes,1
June,2003,Aragón,Zaragoza,Partner,31-40 years,Unknown,Unknown,Yes,1
June,2003,Principado de Asturias,Asturias,Partner,Unknown,Unknown,Unknown,Yes,1
June,2003,Castilla y León,Salamanca,Ex-partner,41-50 years,Unknown,Unknown,No,1
June,2003,Cataluña,Barcelona,Ex-partner,51-64 years,41-50 years,Unknown,No,1
June,2003,Cataluña,Lleida,Partner,65-74 years,65-74 years,Unknown,Yes,1
June,2003,Galicia,A Coruña,Partner,31-40 years,31-40 years,Unknown,Yes,1
June,2003,Región de Murcia,Murcia,Partner,31-40 years,Unknown,Unknown,Yes,1
June,2003,Ceuta,Ceuta,Partner,31-40 years,31-40 years,Unknown,Yes,1
July,2003,Islas Baleares,Islas Baleares,Partner,41-50 years,Unknown,Unknown,Yes,1
July,2003,Cantabria,Cantabria,Partner,31-40 years,31-40 years,Unknown,Yes,1
July,2003,Castilla - La Mancha,Toledo,Partner,21-30 years,Unknown,Unknown,Yes,1
July,2003,Cataluña,Barcelona,Partner,31-40 years,Unknown,Unknown,Yes,1
July,2003,Cataluña,Girona,Partner,Unknown,31-40 years,Unknown,Yes,1
July,2003,Comunidad Valenciana,Castellón,Partner,Unknown,Unknown,Unknown,Yes,1
July,2003,Galicia,Pontevedra,Ex-partner,31-40 years,Unknown,Unknown,No,1
July,2003,Comunidad de Madrid,Madrid,Partner,41-50 years,Unknown,Unknown,Yes,1
August,2003,Islas Baleares,Islas Baleares,Partner,51-64 years,51-64 years,Unknown,Yes,1
August,2003,Islas Baleares,Islas Baleares,Partner,51-64 years,Unknown,Unknown,Yes,1
August,2003,Canarias,Santa Cruz de Tenerife,Partner,31-40 years,31-40 years,Unknown,Yes,1
August,2003,Canarias,Santa Cruz de Tenerife,Partner,Unknown,Unknown,Unknown,Yes,1
August,2003,Castilla y León,Valladolid,Partner,65-74 years,Unknown,Unknown,Yes,1
August,2003,Cataluña,Barcelona,Ex-partner,31-40 years,Unknown,Unknown,No,1
August,2003,Comunidad Valenciana,Valencia,Ex-partner,18-20 years,Unknown,Unknown,No,1
August,2003,Comunidad de Madrid,Madrid,Partner,41-50 years,51-64 years,Unknown,Yes,1
September,2003,Andalucía,Jaén,Partner,>85 years,>85 years,Unknown,Yes,1
September,2003,Andalucía,Sevilla,Partner,41-50 years,41-50 years,Unknown,Yes,1
September,2003,Principado de Asturias,Asturias,Ex-partner,21-30 years,Unknown,Unknown,No,1
September,2003,Comunidad Valenciana,Valencia,Ex-partner,21-30 years,31-40 years,Unknown,No,1
